Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
138V;Valencia (SCD Patraix);137V;Quart de Poblet;32
138V;Valencia (SCD Patraix);138V;Valencia (SCD Patraix);16.450
138V;Valencia (SCD Patraix);140V;Paiporta;24
138V;Valencia (SCD Patraix);141V;Valencia (SCD Albors/Camí Fondo/Penya-roja);32
138V;Valencia (SCD Patraix);144V;Valencia (SCD Ciutat Vella);202
138V;Valencia (SCD Patraix);148V;Valencia (SCD El Cabanyal-El Canyamelar/Beteró);34
138V;Valencia (SCD Patraix);149V;Catarroja;44
138V;Valencia (SCD Patraix);152V;Xirivella;23
138V;Valencia (SCD Patraix);154V;Valencia (SCD El Pla del Real);85
138V;Valencia (SCD Patraix);155V;Manises;32
138V;Valencia (SCD Patraix);156V;Valencia (SCD Nou Moles/Soternes);209
138V;Valencia (SCD Patraix);158V;Valencia (SCD La Raiosa/L'Hort de Senabre);261
138V;Valencia (SCD Patraix);160V;Burjassot;24
138V;Valencia (SCD Patraix);161V;Valencia (SCD Campanar);111
138V;Valencia (SCD Patraix);165V;Paterna;140
138V;Valencia (SCD Patraix);OTRO;OTROS DESTINOS;1.475
139B;Tiana;047B;Alella;35
139B;Tiana;082B;Masnou, El;35
139B;Tiana;087B;Montgat;258
139B;Tiana;101B;Premià de Mar;20
139B;Tiana;139B;Tiana;5.320
139B;Tiana;149B;Badalona (distrito 02);39
139B;Tiana;151B;Badalona (distrito 04);24
139B;Tiana;152B;Badalona (distrito 05);38
139B;Tiana;153B;Badalona (distrito 06);60
139B;Tiana;155B;Badalona (distrito 08);56
139B;Tiana;156B;Badalona (distrito 09);26
139B;Tiana;OTRO;OTROS DESTINOS;1.272
139M;Torrejón de Ardoz (distrito 04);026M;Ajalvir;42
139M;Torrejón de Ardoz (distrito 04);042M;Daganzo de Arriba;21
139M;Torrejón de Ardoz (distrito 04);061M;Paracuellos de Jarama;130
139M;Torrejón de Ardoz (distrito 04);065M;San Fernando de Henares;208
139M;Torrejón de Ardoz (distrito 04);083M;Alcalá de Henares (distrito 01);20
139M;Torrejón de Ardoz (distrito 04);084M;Alcalá de Henares (distrito 02);42
139M;Torrejón de Ardoz (distrito 04);085M;Alcalá de Henares (distrito 03);102
139M;Torrejón de Ardoz (distrito 04);086M;Alcalá de Henares (distrito 04);43
139M;Torrejón de Ardoz (distrito 04);087M;Alcalá de Henares (distrito 05) y Santos de la Humosa, Los;53
139M;Torrejón de Ardoz (distrito 04);101M;Coslada (distritos 03 y 04);65
139M;Torrejón de Ardoz (distrito 04);133M;Rivas-Vaciamadrid (sección 029 y otras secciones del distrito 01);21
139M;Torrejón de Ardoz (distrito 04);136M;Torrejón de Ardoz (distrito 01);856
139M;Torrejón de Ardoz (distrito 04);137M;Torrejón de Ardoz (distrito 02);460
139M;Torrejón de Ardoz (distrito 04);138M;Torrejón de Ardoz (distrito 03);453
139M;Torrejón de Ardoz (distrito 04);139M;Torrejón de Ardoz (distrito 04);17.692
139M;Torrejón de Ardoz (distrito 04);19GU;Azuqueca de Henares;44
139M;Torrejón de Ardoz (distrito 04);258M;Madrid (SCD Valdefuentes-1);23
139M;Torrejón de Ardoz (distrito 04);272M;Madrid (SCD Casco Histórico de Vicálvaro-2);24
139M;Torrejón de Ardoz (distrito 04);274M;Madrid (SCD Simancas);26
139M;Torrejón de Ardoz (distrito 04);278M;Madrid (SCD Rejas);77
139M;Torrejón de Ardoz (distrito 04);283M;Madrid (SCD Timón-Casco Historico-Aeropuerto);81
139M;Torrejón de Ardoz (distrito 04);OTRO;OTROS DESTINOS;2.304
139V;Valencia (SCD Aiora);016V;Riba-roja de Túria y Loriguilla;61
139V;Valencia (SCD Aiora);022V;Sagunto/Sagunt (distritos 04, 05 y 08);30
139V;Valencia (SCD Aiora);046V;Alfafar y Llocnou de la Corona;28
139V;Valencia (SCD Aiora);047V;Llíria y otros municipios;32
139V;Valencia (SCD Aiora);084V;Valencia (SCD El Botànic/La Roqueta);33
139V;Valencia (SCD Aiora);090V;Valencia (SCD Fronteta de Sant Lluís/La Punta/Ciutat de les Arts i de les Ciènces);469
139V;Valencia (SCD Aiora);092V;Valencia (SCD La Malva-rosa);30
139V;Valencia (SCD Aiora);099V;Valencia (SCD La Creu del Grau);326
139V;Valencia (SCD Aiora);102V;Valencia (SCD El Grau/Natzaret);536
139V;Valencia (SCD Aiora);106V;Valencia (SCD L'Amistat/La Vega Baixa/La Carrasca);164
139V;Valencia (SCD Aiora);108V;Sagunto/Sagunt (distrito 06);53
139V;Valencia (SCD Aiora);115V;Valencia (SCD El Pla del Remei/Gran Via);111
139V;Valencia (SCD Aiora);121V;Valencia (SCD Poblats del Sud);110
139V;Valencia (SCD Aiora);122V;Valencia (SCD Safranar/Vara de Quart);33
139V;Valencia (SCD Aiora);124V;Valencia (SCD L'IllaPerduda/Ciutat Jardin);311
139V;Valencia (SCD Aiora);130V;Valencia (SCD Arrancapins);35
139V;Valencia (SCD Aiora);132V;Valencia (SCD Russafa);30
139V;Valencia (SCD Aiora);136V;Alboraya;108
139V;Valencia (SCD Aiora);137V;Quart de Poblet;32
139V;Valencia (SCD Aiora);139V;Valencia (SCD Aiora);15.083
139V;Valencia (SCD Aiora);141V;Valencia (SCD Albors/Camí Fondo/Penya-roja);565
139V;Valencia (SCD Aiora);144V;Valencia (SCD Ciutat Vella);198
139V;Valencia (SCD Aiora);148V;Valencia (SCD El Cabanyal-El Canyamelar/Beteró);306
139V;Valencia (SCD Aiora);149V;Catarroja;32
139V;Valencia (SCD Aiora);154V;Valencia (SCD El Pla del Real);215
139V;Valencia (SCD Aiora);156V;Valencia (SCD Nou Moles/Soternes);28
139V;Valencia (SCD Aiora);157V;Aldaia;28
139V;Valencia (SCD Aiora);160V;Burjassot;32
139V;Valencia (SCD Aiora);161V;Valencia (SCD Campanar);67
139V;Valencia (SCD Aiora);165V;Paterna;123
139V;Valencia (SCD Aiora);OTRO;OTROS DESTINOS;1.741
13AB;Elche de la Sierra y otros municipios;01AB;Albacete (distrito 08) y otros municipios;26
13AB;Elche de la Sierra y otros municipios;11AB;Yeste y otros municipios;147
13AB;Elche de la Sierra y otros municipios;12AB;Riópar y otros municipios;34
13AB;Elche de la Sierra y otros municipios;13AB;Elche de la Sierra y otros municipios;5.130
13AB;Elche de la Sierra y otros municipios;14AB;Pozohondo y otros municipios;30
13AB;Elche de la Sierra y otros municipios;20AB;Hellín;131
13AB;Elche de la Sierra y otros municipios;26MU;Moratalla;33
13AB;Elche de la Sierra y otros municipios;OTRO;OTROS DESTINOS;338
13AL;Arboleas y otros municipios;05MU;Águilas;21
13AL;Arboleas y otros municipios;08AL;Tabernas y otros municipios;21
13AL;Arboleas y otros municipios;09AL;Tíjola y otros municipios;21
13AL;Arboleas y otros municipios;13AL;Arboleas y otros municipios;6.118
13AL;Arboleas y otros municipios;14AL;Cantoria y otros municipios;201
13AL;Arboleas y otros municipios;16AL;Antas y otros municipios;44
13AL;Arboleas y otros municipios;19AL;Albox;225
13AL;Arboleas y otros municipios;21AL;Carboneras;21
13AL;Arboleas y otros municipios;22AL;Cuevas del Almanzora;21
13AL;Arboleas y otros municipios;23AL;Garrucha;21
13AL;Arboleas y otros municipios;25AL;Huércal-Overa;300
13AL;Arboleas y otros municipios;26AL;Mojácar;21
13AL;Arboleas y otros municipios;29AL;Pulpí;21
13AL;Arboleas y otros municipios;29MU;Puerto Lumbreras;21
13AL;Arboleas y otros municipios;31AL;Vera;55
13AL;Arboleas y otros municipios;50MU;Lorca (distrito 02);21
13AL;Arboleas y otros municipios;OTRO;OTROS DESTINOS;322
13AS;Nava y otros municipios;13AS;Nava y otros municipios;5.535
13AS;Nava y otros municipios;14AS;Colunga y Caravia;145
13AS;Nava y otros municipios;19AS;Cangas de Onís;101
13AS;Nava y otros municipios;24AS;Langreo;37
13AS;Nava y otros municipios;25AS;Laviana;27
13AS;Nava y otros municipios;28AS;Llanera;26
13AS;Nava y otros municipios;29AS;Llanes;85
13AS;Nava y otros municipios;32AS;Noreña;40
13AS;Nava y otros municipios;33AS;Parres;90
13AS;Nava y otros municipios;34AS;Piloña;166
13AS;Nava y otros municipios;35AS;Ribadesella;47
13AS;Nava y otros municipios;37AS;San Martín del Rey Aurelio;40
13AS;Nava y otros municipios;39AS;Villaviciosa;318
13AS;Nava y otros municipios;46AS;Oviedo (distrito 06);18
13AS;Nava y otros municipios;47AS;Oviedo (distrito 07);23
13AS;Nava y otros municipios;57AS;Siero;402
13AS;Nava y otros municipios;71AS;Gijón (SCD Rural);92
13AS;Nava y otros municipios;OTRO;OTROS DESTINOS;632
13AV;Navaluenga y otros municipios;01AV;Ávila (distritos 01 a 03) y otros municipios;29
13AV;Navaluenga y otros municipios;02AV;Ávila (distrito 06) y Berrocalejo de Aragona;18
13AV;Navaluenga y otros municipios;03AV;Ávila (distrito 04) y otros municipios;92
13AV;Navaluenga y otros municipios;13AV;Navaluenga y otros municipios;3.396
13AV;Navaluenga y otros municipios;14AV;Casavieja y otros municipios;39
13AV;Navaluenga y otros municipios;17AV;Solosancho y otros municipios;16
13AV;Navaluenga y otros municipios;OTRO;OTROS DESTINOS;217
13BA;Barcarrota y Salvaleón;09BA;Higuera de Vargas y otros municipios;115
13BA;Barcarrota y Salvaleón;12BA;Jerez de los Caballeros y otros municipios;44
13BA;Barcarrota y Salvaleón;13BA;Barcarrota y Salvaleón;3.741
13BA;Barcarrota y Salvaleón;14BA;Almendral y otros municipios;47
13BA;Barcarrota y Salvaleón;40BA;Olivenza y Valverde de Leganés;28
